junction_name,primary_direction,primary_speed_limit,primary_avg_speed,secondary_direction,secondary_speed_limit,secondary_avg_speed,record_time,record_date,day_of_week
J10,NB,70,47.97,SB,70,38.67,0 days 07:03:02,2024-09-03,Tuesday
J14,NB,70,66.51,SB,70,63.28,0 days 07:03:02,2024-09-03,Tuesday
J19,NB,70,65.35,SB,70,61.86,0 days 07:03:02,2024-09-03,Tuesday
J21,NB,70,61.27,SB,70,55.05,0 days 07:03:02,2024-09-03,Tuesday
J24,NB,70,54.06,SB,70,45.4,0 days 07:03:02,2024-09-03,Tuesday
J28,NB,70,51.26,SB,70,51.2,0 days 07:03:02,2024-09-03,Tuesday
J32,NB,70,49.98,SB,70,55.02,0 days 07:03:02,2024-09-03,Tuesday
J34,NB,70,47.85,SB,70,47.83,0 days 07:03:02,2024-09-03,Tuesday
J39,NB,70,58.78,SB,70,66.43,0 days 07:03:02,2024-09-03,Tuesday
J43|44,NB,70,54.67,SB,70,49.28,0 days 07:03:02,2024-09-03,Tuesday
J2,NB,70,63.65,SB,70,64.35,0 days 07:04:03,2024-09-03,Tuesday
J6A,NB,70,64.81,SB,70,59.03,0 days 07:04:03,2024-09-03,Tuesday
J10,NB,70,47.97,SB,70,38.67,0 days 07:04:03,2024-09-03,Tuesday
J14,NB,70,66.51,SB,70,63.28,0 days 07:04:03,2024-09-03,Tuesday
J19,NB,70,65.35,SB,70,61.86,0 days 07:04:03,2024-09-03,Tuesday
J21,NB,70,61.27,SB,70,55.05,0 days 07:04:03,2024-09-03,Tuesday
J24,NB,70,54.06,SB,70,45.4,0 days 07:04:03,2024-09-03,Tuesday
J28,NB,70,51.26,SB,70,51.2,0 days 07:04:03,2024-09-03,Tuesday
J32,NB,70,49.98,SB,70,55.02,0 days 07:04:03,2024-09-03,Tuesday
J34,NB,70,47.85,SB,70,47.83,0 days 07:04:03,2024-09-03,Tuesday
J39,NB,70,58.78,SB,70,66.43,0 days 07:04:03,2024-09-03,Tuesday
J43|44,NB,70,54.67,SB,70,49.28,0 days 07:04:03,2024-09-03,Tuesday
J2,NB,70,68.53,SB,70,62.34,0 days 07:05:03,2024-09-03,Tuesday
J6A,NB,70,64.25,SB,70,59.03,0 days 07:05:03,2024-09-03,Tuesday
J10,NB,70,47.47,SB,70,38.43,0 days 07:05:03,2024-09-03,Tuesday
J14,NB,70,66.62,SB,70,63.27,0 days 07:05:03,2024-09-03,Tuesday
J19,NB,70,66.6,SB,70,62.31,0 days 07:05:03,2024-09-03,Tuesday
J21,NB,70,60.69,SB,70,55.16,0 days 07:05:03,2024-09-03,Tuesday
J24,NB,70,54.06,SB,70,45.22,0 days 07:05:03,2024-09-03,Tuesday
J28,NB,70,50.57,SB,70,50.0,0 days 07:05:03,2024-09-03,Tuesday
J32,NB,70,49.23,SB,70,54.63,0 days 07:05:03,2024-09-03,Tuesday
J34,NB,70,46.46,SB,70,48.22,0 days 07:05:03,2024-09-03,Tuesday
J39,NB,70,59.78,SB,70,65.24,0 days 07:05:03,2024-09-03,Tuesday
J43|44,NB,70,54.67,SB,70,48.63,0 days 07:05:03,2024-09-03,Tuesday
J2,NB,70,70.0,SB,70,61.71,0 days 07:06:02,2024-09-03,Tuesday
J6A,NB,70,62.2,SB,70,57.17,0 days 07:06:02,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,37.89,0 days 07:06:02,2024-09-03,Tuesday
J14,NB,70,67.14,SB,70,63.88,0 days 07:06:02,2024-09-03,Tuesday
J19,NB,70,67.11,SB,70,63.83,0 days 07:06:02,2024-09-03,Tuesday
J21,NB,70,60.98,SB,70,54.58,0 days 07:06:02,2024-09-03,Tuesday
J24,NB,70,54.06,SB,70,45.41,0 days 07:06:02,2024-09-03,Tuesday
J28,NB,70,49.53,SB,70,49.95,0 days 07:06:02,2024-09-03,Tuesday
J32,NB,70,49.23,SB,70,56.1,0 days 07:06:02,2024-09-03,Tuesday
J34,NB,70,46.95,SB,70,48.61,0 days 07:06:02,2024-09-03,Tuesday
J39,NB,70,58.78,SB,70,66.34,0 days 07:06:02,2024-09-03,Tuesday
J43|44,NB,70,53.71,SB,70,48.08,0 days 07:06:02,2024-09-03,Tuesday
J2,NB,70,70.0,SB,70,60.97,0 days 07:07:03,2024-09-03,Tuesday
J6A,NB,70,60.34,SB,70,57.17,0 days 07:07:03,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,37.5,0 days 07:07:03,2024-09-03,Tuesday
J14,NB,70,67.38,SB,70,63.49,0 days 07:07:03,2024-09-03,Tuesday
J19,NB,70,67.11,SB,70,63.51,0 days 07:07:03,2024-09-03,Tuesday
J21,NB,70,60.23,SB,70,54.73,0 days 07:07:03,2024-09-03,Tuesday
J24,NB,70,54.68,SB,70,49.62,0 days 07:07:03,2024-09-03,Tuesday
J28,NB,70,48.9,SB,70,49.02,0 days 07:07:03,2024-09-03,Tuesday
J32,NB,70,49.23,SB,70,56.1,0 days 07:07:03,2024-09-03,Tuesday
J34,NB,70,47.22,SB,70,47.76,0 days 07:07:03,2024-09-03,Tuesday
J39,NB,70,57.29,SB,70,66.34,0 days 07:07:03,2024-09-03,Tuesday
J43|44,NB,70,50.54,SB,70,48.08,0 days 07:07:03,2024-09-03,Tuesday
J2,NB,70,65.57,SB,70,59.47,0 days 07:30:02,2024-09-03,Tuesday
J6A,NB,70,61.77,SB,70,62.14,0 days 07:30:02,2024-09-03,Tuesday
J10,NB,70,47.97,SB,70,37.5,0 days 07:30:02,2024-09-03,Tuesday
J14,NB,70,38.16,SB,70,65.24,0 days 07:30:02,2024-09-03,Tuesday
J19,NB,70,65.21,SB,70,64.94,0 days 07:30:02,2024-09-03,Tuesday
J21,NB,70,64.02,SB,70,30.95,0 days 07:30:02,2024-09-03,Tuesday
J24,NB,70,52.82,SB,70,43.41,0 days 07:30:02,2024-09-03,Tuesday
J28,NB,70,48.97,SB,70,47.24,0 days 07:30:02,2024-09-03,Tuesday
J32,NB,70,35.46,SB,70,48.14,0 days 07:30:02,2024-09-03,Tuesday
J34,NB,70,46.74,SB,70,46.98,0 days 07:30:02,2024-09-03,Tuesday
J39,NB,70,57.79,SB,70,65.87,0 days 07:30:02,2024-09-03,Tuesday
J43|44,NB,70,39.6,SB,70,49.46,0 days 07:30:02,2024-09-03,Tuesday
J2,NB,70,66.65,SB,70,56.19,0 days 08:00:03,2024-09-03,Tuesday
J6A,NB,70,62.02,SB,70,60.89,0 days 08:00:03,2024-09-03,Tuesday
J10,NB,70,47.85,SB,70,39.21,0 days 08:00:03,2024-09-03,Tuesday
J14,NB,70,22.02,SB,70,58.28,0 days 08:00:03,2024-09-03,Tuesday
J19,NB,70,70.0,SB,70,65.7,0 days 08:00:03,2024-09-03,Tuesday
J21,NB,70,56.48,SB,70,30.55,0 days 08:00:03,2024-09-03,Tuesday
J24,NB,70,51.57,SB,70,43.9,0 days 08:00:03,2024-09-03,Tuesday
J28,NB,70,49.34,SB,70,48.19,0 days 08:00:03,2024-09-03,Tuesday
J32,NB,70,33.11,SB,70,48.02,0 days 08:00:03,2024-09-03,Tuesday
J34,NB,70,46.74,SB,70,40.05,0 days 08:00:03,2024-09-03,Tuesday
J39,NB,70,41.51,SB,70,67.26,0 days 08:00:03,2024-09-03,Tuesday
J43|44,NB,70,37.08,SB,70,50.15,0 days 08:00:03,2024-09-03,Tuesday
J2,NB,70,69.09,SB,70,66.94,0 days 08:30:02,2024-09-03,Tuesday
J6A,NB,70,61.58,SB,70,62.14,0 days 08:30:02,2024-09-03,Tuesday
J10,NB,70,47.97,SB,70,39.91,0 days 08:30:02,2024-09-03,Tuesday
J14,NB,70,14.13,SB,70,60.29,0 days 08:30:02,2024-09-03,Tuesday
J19,NB,70,69.05,SB,70,64.17,0 days 08:30:02,2024-09-03,Tuesday
J21,NB,70,58.02,SB,70,29.15,0 days 08:30:02,2024-09-03,Tuesday
J24,NB,70,54.68,SB,70,43.78,0 days 08:30:02,2024-09-03,Tuesday
J28,NB,70,52.8,SB,70,48.29,0 days 08:30:02,2024-09-03,Tuesday
J32,NB,70,30.21,SB,70,51.75,0 days 08:30:02,2024-09-03,Tuesday
J34,NB,70,48.33,SB,70,43.47,0 days 08:30:02,2024-09-03,Tuesday
J39,NB,70,63.13,SB,70,66.16,0 days 08:30:02,2024-09-03,Tuesday
J43|44,NB,70,38.43,SB,70,49.87,0 days 08:30:02,2024-09-03,Tuesday
J2,NB,70,70.0,SB,70,65.55,0 days 09:00:02,2024-09-03,Tuesday
J6A,NB,70,60.96,SB,70,59.03,0 days 09:00:02,2024-09-03,Tuesday
J10,NB,70,48.4,SB,70,39.52,0 days 09:00:02,2024-09-03,Tuesday
J14,NB,70,19.93,SB,70,64.57,0 days 09:00:02,2024-09-03,Tuesday
J19,NB,70,63.56,SB,70,66.52,0 days 09:00:02,2024-09-03,Tuesday
J21,NB,70,58.42,SB,70,37.75,0 days 09:00:02,2024-09-03,Tuesday
J24,NB,70,54.68,SB,70,49.08,0 days 09:00:02,2024-09-03,Tuesday
J28,NB,70,48.55,SB,70,48.21,0 days 09:00:02,2024-09-03,Tuesday
